time,max,99th,95th,med
1819598,52.4,52.4,52.4,49.2
1822810,52.4,52.4,52.4,49.2
1822816,52.4,52.4,52.4,49.2
1822827,52.4,52.4,52.4,49.2
1822851,52.4,52.4,52.4,49.2
1822860,52.4,52.4,52.4,49.2
1822866,52.4,52.4,52.4,49.2
1822869,52.4,52.4,52.4,49.2
1822892,52.4,52.4,52.4,49.2
1822910,52.4,52.4,52.4,49.2
1822924,52.4,52.4,52.4,49.2
1822961,52.4,52.4,52.4,49.2
1823022,52.4,52.4,52.4,49.2
1840047,52.4,52.4,52.4,49.2
1856539,52.4,52.4,52.4,49.2
1856559,52.4,52.4,52.4,49.2
1856572,52.4,52.4,52.4,49.2
1856583,52.4,52.4,52.4,49.2
1856591,52.4,52.4,52.4,49.2
1865425,52.4,52.4,52.4,49.2
1865430,52.4,52.4,52.4,49.2
1865433,52.4,52.4,52.4,49.2
1869016,52.4,52.4,52.4,49.2
1883811,52.4,52.4,52.4,49.2
1886215,52.4,52.4,52.4,49.2
1889392,52.4,52.4,52.4,49.2
1889453,52.4,52.4,52.4,49.2
1890617,52.4,52.4,52.4,49.2
1966130,52.4,52.4,52.4,49.2
1974764,52.4,52.4,52.4,49.2
1989178,52.4,52.4,52.4,49.2
1989194,52.4,52.4,52.4,49.2
1989212,52.4,52.4,52.4,49.2
1989244,52.4,52.4,52.4,49.2
1989246,52.4,52.4,52.4,49.2
1998746,52.4,52.4,52.4,49.2
1999327,52.4,52.4,52.4,49.2
1999460,52.4,52.4,52.4,49.2
1999507,52.4,52.4,52.4,49.2
2025109,52.4,52.4,52.4,49.2
2036130,52.4,52.4,52.4,49.2
2037560,52.4,52.4,52.4,49.2
2055825,52.4,52.4,52.4,49.2
2059695,52.4,52.4,52.4,52.4
2061649,52.4,52.4,52.4,52.4
2073301,52.4,52.4,52.4,52.4
2090363,52.4,52.4,52.4,52.4
2116069,52.4,52.4,52.4,52.4
2116072,52.4,52.4,52.4,52.4
2127314,52.4,52.4,52.4,52.4
2128140,52.4,52.4,52.4,52.4
2136440,52.4,52.4,52.4,52.4
2163120,52.4,52.4,52.4,52.4
2163683,52.4,52.4,52.4,52.4
2163728,52.4,52.4,52.4,52.4
2181484,52.4,52.4,52.4,52.4
2185324,52.4,52.4,52.4,52.4
2228466,52.4,52.4,52.4,52.4
2292500,52.4,52.4,52.4,52.4
2294569,52.4,52.4,52.4,52.4
2294578,52.4,52.4,52.4,52.4
2294587,52.4,52.4,52.4,52.4
2294598,52.4,52.4,52.4,52.4
2294607,52.4,52.4,52.4,52.4
2303532,52.4,52.4,52.4,52.4
2312538,52.4,52.4,52.4,52.4
2312551,52.4,52.4,52.4,52.4
2312590,52.4,52.4,52.4,52.4
2312592,52.4,52.4,52.4,52.4
2312628,52.4,52.4,52.4,52.4
2320868,52.4,52.4,52.4,52.4
2320879,52.4,52.4,52.4,52.4
2320908,52.4,52.4,52.4,52.4
2320926,52.4,52.4,52.4,52.4
2320942,52.4,52.4,52.4,52.4
2320955,52.4,52.4,52.4,52.4
2320958,52.4,52.4,52.4,52.4
2322273,52.4,52.4,52.4,52.4
2322308,52.4,52.4,52.4,52.4
2322312,52.4,52.4,52.4,52.4
2327248,52.4,52.4,52.4,52.4
2334109,52.4,52.4,52.4,52.4
2334143,52.4,52.4,52.4,52.4
2334145,52.4,52.4,52.4,52.4
2335306,52.4,52.4,52.4,52.4
2347419,52.4,52.4,52.4,52.4
2347446,52.4,52.4,52.4,52.4
2348578,52.4,52.4,52.4,52.4
2367116,52.4,52.4,52.4,52.4
2372592,52.4,52.4,52.4,52.4
2376839,52.4,52.4,52.4,52.4
2376860,52.4,52.4,52.4,52.4
2407884,52.4,52.4,52.4,52.4
2413383,52.4,52.4,52.4,52.4
2414713,52.4,52.4,52.4,52.4
2416845,52.4,52.4,52.4,52.4
2417375,52.4,52.4,52.4,52.4
2418837,52.4,52.4,52.4,52.4
2422419,52.4,52.4,52.4,52.4
2427451,52.4,52.4,52.4,52.4
2427720,52.4,52.4,52.4,52.4
2433436,52.4,52.4,52.4,52.4
2439592,52.4,52.4,52.4,52.4
2446555,52.4,52.4,52.4,52.4
2452096,52.4,52.4,52.4,52.4
2459476,52.4,52.4,52.4,52.4
2477340,52.4,52.4,52.4,52.4
2478535,52.4,52.4,52.4,52.4
2478572,52.4,52.4,52.4,52.4
2480539,52.4,52.4,52.4,52.4
2485014,52.4,52.4,52.4,52.4
2493450,52.4,52.4,52.4,52.4
2494512,52.4,52.4,52.4,52.4
2495005,52.4,52.4,52.4,52.4
2499303,52.4,52.4,52.4,52.4
2512305,52.4,52.4,52.4,52.4
2516167,52.4,52.4,52.4,52.4
2526558,52.4,52.4,52.4,52.4
2534033,52.4,52.4,52.4,52.4
2578905,52.4,52.4,52.4,52.4
2581022,52.4,52.4,52.4,52.4
2581927,52.4,52.4,52.4,52.4
2594093,52.4,52.4,52.4,52.4
2594103,52.4,52.4,52.4,52.4
2594117,52.4,52.4,52.4,52.4
2594185,52.4,52.4,52.4,52.4
2594228,52.4,52.4,52.4,52.4
2596848,52.4,52.4,52.4,52.4
2596880,52.4,52.4,52.4,52.4
2597176,52.4,52.4,52.4,52.4
2597518,52.4,52.4,52.4,52.4
2600242,52.4,52.4,52.4,52.4
2602087,52.4,52.4,52.4,52.4
2604199,52.4,52.4,52.4,52.4
2604284,52.4,52.4,52.4,52.4
2606073,52.4,52.4,52.4,52.4
2606750,52.4,52.4,52.4,52.4
2608106,52.4,52.4,52.4,52.4
2613953,52.4,52.4,52.4,52.4
2614804,52.4,52.4,52.4,52.4
2617413,52.4,52.4,52.4,52.4
2643544,52.4,52.4,52.4,52.4
2653756,52.4,52.4,52.4,52.4
2657288,52.4,52.4,52.4,52.4
2657292,52.4,52.4,52.4,52.4
2657296,52.4,52.4,52.4,52.4
2657299,52.4,52.4,52.4,52.4
2657305,52.4,52.4,52.4,52.4
2657308,52.4,52.4,52.4,52.4
2657313,52.4,52.4,52.4,52.4
2657316,52.4,52.4,52.4,52.4
2657319,52.4,52.4,52.4,52.4
2657323,52.4,52.4,52.4,52.4
2657326,52.4,52.4,52.4,52.4
2657329,52.4,52.4,52.4,52.4
2657334,52.4,52.4,52.4,52.4
2657338,52.4,52.4,52.4,52.4
2657341,52.4,52.4,52.4,52.4
2657344,52.4,52.4,52.4,52.4
2657347,52.4,52.4,52.4,52.4
2657352,52.4,52.4,52.4,52.4
2657355,52.4,52.4,52.4,52.4
2657372,52.4,52.4,52.4,52.4
2657376,52.4,52.4,52.4,52.4
2657379,52.4,52.4,52.4,52.4
2657387,52.4,52.4,52.4,52.4
2657392,52.4,52.4,52.4,52.4
2657399,52.4,52.4,52.4,52.4
2657407,52.4,52.4,52.4,52.4
2657416,52.4,52.4,52.4,52.4
2657421,52.4,52.4,52.4,52.4
2657424,52.4,52.4,52.4,52.4
2657428,52.4,52.4,52.4,52.4
2657431,52.4,52.4,52.4,52.4
2657464,52.4,52.4,52.4,52.4
2657471,52.4,52.4,52.4,52.4
2657479,52.4,52.4,52.4,52.4
2657483,52.4,52.4,52.4,52.4
2657497,52.4,52.4,52.4,52.4
2657514,52.4,52.4,52.4,52.4
2657524,52.4,52.4,52.4,52.4
2657550,52.4,52.4,52.4,52.4
2657555,52.4,52.4,52.4,52.4
2657558,52.4,52.4,52.4,52.4
2657565,52.4,52.4,52.4,52.4
2657569,52.4,52.4,52.4,52.4
2657574,52.4,52.4,52.4,52.4
2657581,52.4,52.4,52.4,52.4
2657588,52.4,52.4,52.4,52.4
2657599,52.4,52.4,52.4,52.4
2657606,52.4,52.4,52.4,52.4
2657610,52.4,52.4,52.4,52.4
2657616,52.4,52.4,52.4,52.4
2657619,52.4,52.4,52.4,52.4
2657623,52.4,52.4,52.4,52.4
2657642,52.4,52.4,52.4,52.4
2657645,52.4,52.4,52.4,52.4
2657648,52.4,52.4,52.4,52.4
2657651,52.4,52.4,52.4,52.4
2657661,52.4,52.4,52.4,52.4
2657667,52.4,52.4,52.4,52.4
2657676,52.4,52.4,52.4,52.4
2659714,52.4,52.4,52.4,52.4
2660584,52.4,52.4,52.4,52.4
2660588,52.4,52.4,52.4,52.4
2660591,52.4,52.4,52.4,52.4
2660595,52.4,52.4,52.4,52.4
2660599,52.4,52.4,52.4,52.4
2660603,52.4,52.4,52.4,52.4
2660606,52.4,52.4,52.4,52.4
2660610,52.4,52.4,52.4,52.4
2660613,52.4,52.4,52.4,52.4
2660616,52.4,52.4,52.4,52.4
2660620,52.4,52.4,52.4,52.4
2660623,52.4,52.4,52.4,52.4
2660627,52.4,52.4,52.4,52.4
2660632,52.4,52.4,52.4,52.4
2660642,52.4,52.4,52.4,52.4
2660645,52.4,52.4,52.4,52.4
2660648,52.4,52.4,52.4,52.4
2660652,52.4,52.4,52.4,52.4
2660655,52.4,52.4,52.4,52.4
2660659,52.4,52.4,52.4,52.4
2660663,52.4,52.4,52.4,52.4
2660666,52.4,52.4,52.4,52.4
2660670,52.4,52.4,52.4,52.4
2660673,52.4,52.4,52.4,52.4
2660677,52.4,52.4,52.4,52.4
2660681,52.4,52.4,52.4,52.4
2660739,52.4,52.4,52.4,52.4
2660744,52.4,52.4,52.4,52.4
2660747,52.4,52.4,52.4,52.4
2660776,52.4,52.4,52.4,52.4
2660781,52.4,52.4,52.4,52.4
2660794,52.4,52.4,52.4,52.4
2660798,52.4,52.4,52.4,52.4
2660835,52.4,52.4,52.4,52.4
2660848,52.4,52.4,52.4,52.4
2660873,52.4,52.4,52.4,52.4
2660900,52.4,52.4,52.4,52.4
2660930,52.4,52.4,52.4,52.4
2660962,52.4,52.4,52.4,52.4
2661028,52.4,52.4,52.4,52.4
2661046,52.4,52.4,52.4,52.4
2661074,52.4,52.4,52.4,52.4
2661082,52.4,52.4,52.4,52.4
2661089,52.4,52.4,52.4,52.4
2661092,52.4,52.4,52.4,52.4
2661114,52.4,52.4,52.4,52.4
2661117,52.4,52.4,52.4,52.4
2661124,52.4,52.4,52.4,52.4
2661128,52.4,52.4,52.4,52.4
2661154,52.4,52.4,52.4,52.4
2661159,52.4,52.4,52.4,52.4
2661225,52.4,52.4,52.4,52.4
2661232,52.4,52.4,52.4,52.4
2661237,52.4,52.4,52.4,52.4
2661248,52.4,52.4,52.4,52.4
2661254,52.4,52.4,52.4,52.4
2661650,52.4,52.4,52.4,52.4
2661654,52.4,52.4,52.4,52.4
2661657,52.4,52.4,52.4,52.4
2661658,52.4,52.4,52.4,52.4
2661661,52.4,52.4,52.4,52.4
2661664,52.4,52.4,52.4,52.4
2661665,52.4,52.4,52.4,52.4
2661667,52.4,52.4,52.4,52.4
2661668,52.4,52.4,52.4,52.4
2661671,52.4,52.4,52.4,52.4
2661672,52.4,52.4,52.4,52.4
2661674,52.4,52.4,52.4,52.4
2661676,52.4,52.4,52.4,52.4
2661678,52.4,52.4,52.4,52.4
2661679,52.4,52.4,52.4,52.4
2661681,52.4,52.4,52.4,52.4
2661682,52.4,52.4,52.4,52.4
2661684,52.4,52.4,52.4,52.4
2661686,52.4,52.4,52.4,52.4
2661688,52.4,52.4,52.4,52.4
2661689,52.4,52.4,52.4,52.4
2661691,52.4,52.4,52.4,52.4
2661692,52.4,52.4,52.4,52.4
2661698,52.4,52.4,52.4,52.4
2661702,52.4,52.4,52.4,52.4
2661705,52.4,52.4,52.4,52.4
2661707,52.4,52.4,52.4,52.4
2661709,52.4,52.4,52.4,52.4
2661711,52.4,52.4,52.4,52.4
2661712,52.4,52.4,52.4,52.4
2661714,52.4,52.4,52.4,52.4
2661718,52.4,52.4,52.4,52.4
2661732,52.4,52.4,52.4,52.4
2661735,52.4,52.4,52.4,52.4
2661736,52.4,52.4,52.4,52.4
2661739,52.4,52.4,52.4,52.4
2661740,52.4,52.4,52.4,52.4
2661742,52.4,52.4,52.4,52.4
2661745,52.4,52.4,52.4,52.4
2661747,52.4,52.4,52.4,52.4
2661749,52.4,52.4,52.4,52.4
2661750,52.4,52.4,52.4,52.4
2661752,52.4,52.4,52.4,52.4
2661756,52.4,52.4,52.4,52.4
2661757,52.4,52.4,52.4,52.4
2661766,52.4,52.4,52.4,52.4
2661772,52.4,52.4,52.4,52.4
2661778,52.4,52.4,52.4,52.4
2661782,52.4,52.4,52.4,52.4
2661790,52.4,52.4,52.4,52.4
2661797,52.4,52.4,52.4,52.4
2661800,52.4,52.4,52.4,52.4
2661808,52.4,52.4,52.4,52.4
2661844,52.4,52.4,52.4,52.4
2661852,52.4,52.4,52.4,52.4
2661865,52.4,52.4,52.4,52.4
2661919,52.4,52.4,52.4,52.4
2661932,52.4,52.4,52.4,52.4
2661946,52.4,52.4,52.4,52.4
2661950,52.4,52.4,52.4,52.4
2661959,52.4,52.4,52.4,52.4
2661961,52.4,52.4,52.4,52.4
2661968,52.4,52.4,52.4,52.4
2661979,52.4,52.4,52.4,52.4
2661980,52.4,52.4,52.4,52.4
2661986,52.4,52.4,52.4,52.4
2661996,52.4,52.4,52.4,52.4
2661999,52.4,52.4,52.4,52.4
2662011,52.4,52.4,52.4,52.4
2662021,52.4,52.4,52.4,52.4
2662024,52.4,52.4,52.4,52.4
2662035,52.4,52.4,52.4,52.4
2662046,52.4,52.4,52.4,52.4
2662049,52.4,52.4,52.4,52.4
2662060,52.4,52.4,52.4,52.4
2662069,52.4,52.4,52.4,52.4
2662078,52.4,52.4,52.4,52.4
2662103,52.4,52.4,52.4,52.4
2662106,52.4,52.4,52.4,52.4
2666697,52.4,52.4,52.4,52.4
2668201,52.4,52.4,52.4,52.4
2669790,52.4,52.4,52.4,52.4
2669837,52.4,52.4,52.4,52.4
2670107,52.4,52.4,52.4,52.4
2670112,52.4,52.4,52.4,52.4
2670117,52.4,52.4,52.4,52.4
2670163,52.4,52.4,52.4,52.4
2670190,52.4,52.4,52.4,52.4
2670193,52.4,52.4,52.4,52.4
