time,max,99th,95th,med
1981434,58.8,58.8,58.8,49.2
1984102,58.8,58.8,58.8,49.2
1986862,58.8,58.8,58.8,49.2
1987448,58.8,58.8,58.8,49.2
1989501,58.8,58.8,58.8,49.2
1991832,58.8,58.8,58.8,49.2
2000545,58.8,58.8,58.8,49.2
2002666,58.8,58.8,58.8,49.2
2035614,58.8,58.8,58.8,49.2
2045080,58.8,58.8,58.8,49.2
2045101,58.8,58.8,58.8,49.2
2049169,52.4,52.4,52.4,49.2
2052086,52.4,52.4,52.4,49.2
2064450,52.4,52.4,52.4,49.2
2078637,52.4,52.4,52.4,49.2
2080187,52.4,52.4,52.4,49.2
2084710,52.4,52.4,52.4,49.2
2085800,52.4,52.4,52.4,49.2
2092764,52.4,52.4,52.4,49.2
2118346,52.4,52.4,52.4,49.2
2131377,52.4,52.4,52.4,49.2
2136227,52.4,52.4,52.4,49.2
2151086,52.4,52.4,52.4,49.2
2159458,52.4,52.4,52.4,49.2
2161867,52.4,52.4,52.4,49.2
2161892,52.4,52.4,52.4,49.2
2166251,52.4,52.4,52.4,49.2
2168059,52.4,52.4,52.4,49.2
2177392,49.2,49.2,49.2,49.2
2183382,49.2,49.2,49.2,49.2
2187386,49.2,49.2,49.2,49.2
2189127,49.2,49.2,49.2,49.2
2189193,49.2,49.2,49.2,49.2
2190963,49.2,49.2,49.2,49.2
2191769,49.2,49.2,49.2,49.2
2197881,49.2,49.2,49.2,49.2
2201633,49.2,49.2,49.2,49.2
2235058,49.2,49.2,49.2,49.2
2235061,49.2,49.2,49.2,49.2
2235070,49.2,49.2,49.2,49.2
2235073,49.2,49.2,49.2,49.2
2259518,49.2,49.2,49.2,49.2
2278010,49.2,49.2,49.2,49.2
2278588,49.2,49.2,49.2,49.2
2284427,49.2,49.2,49.2,49.2
2347736,49.2,49.2,49.2,49.2
2351000,49.2,49.2,49.2,49.2
2351264,49.2,49.2,49.2,49.2
2352139,49.2,49.2,49.2,49.2
2352143,49.2,49.2,49.2,49.2
2352269,49.2,49.2,49.2,49.2
2352279,49.2,49.2,49.2,49.2
2352304,49.2,49.2,49.2,49.2
2364485,49.2,49.2,49.2,49.2
2364634,49.2,49.2,49.2,49.2
2387276,49.2,49.2,49.2,49.2
2396295,49.2,49.2,49.2,49.2
2398878,49.2,49.2,49.2,49.2
2399558,49.2,49.2,49.2,49.2
2443694,49.2,49.2,49.2,49.2
2469521,49.2,49.2,49.2,49.2
2497781,49.2,49.2,49.2,49.2
2533111,49.2,49.2,49.2,49.2
2533728,49.2,49.2,49.2,49.2
2535022,49.2,49.2,49.2,49.2
2561473,49.2,49.2,49.2,49.2
2567407,49.2,49.2,49.2,49.2
2567954,49.2,49.2,49.2,49.2
2569772,49.2,49.2,49.2,49.2
2575861,49.2,49.2,49.2,49.2
2575871,49.2,49.2,49.2,49.2
2575880,49.2,49.2,49.2,49.2
2575888,49.2,49.2,49.2,49.2
2575898,49.2,49.2,49.2,49.2
2575928,49.2,49.2,49.2,49.2
2575937,49.2,49.2,49.2,49.2
2575948,49.2,49.2,49.2,49.2
2575958,49.2,49.2,49.2,49.2
2575975,49.2,49.2,49.2,49.2
2576786,49.2,49.2,49.2,49.2
2579459,49.2,49.2,49.2,49.2
2580765,49.2,49.2,49.2,49.2
2593298,49.2,49.2,49.2,49.2
2596295,49.2,49.2,49.2,49.2
2609877,49.2,49.2,49.2,49.2
2622752,49.2,49.2,49.2,49.2
2627808,49.2,49.2,49.2,49.2
