time,max,99th,95th,med
3774084,49.2,49.2,49.2,22
3775315,49.2,49.2,49.2,22
3775871,49.2,49.2,49.2,22
3780272,49.2,49.2,49.2,22
3802113,49.2,49.2,49.2,22
3811774,49.2,49.2,49.2,22
3817947,49.2,49.2,49.2,22
3817978,49.2,49.2,49.2,22
3828965,49.2,49.2,49.2,22
3829332,49.2,49.2,49.2,22
3831486,49.2,49.2,49.2,22
3832267,49.2,49.2,49.2,22
3845388,49.2,49.2,49.2,22
3852752,49.2,49.2,49.2,22
3852784,49.2,49.2,49.2,22
3854780,49.2,49.2,49.2,22
3854783,49.2,49.2,49.2,22
3855623,49.2,49.2,49.2,22
3856319,49.2,49.2,49.2,49.2
3875793,49.2,49.2,49.2,49.2
3880064,49.2,49.2,49.2,49.2
3887819,49.2,49.2,49.2,49.2
3892069,49.2,49.2,49.2,49.2
3910570,49.2,49.2,49.2,49.2
3910611,49.2,49.2,49.2,49.2
3922206,49.2,49.2,49.2,49.2
3922627,49.2,49.2,49.2,49.2
3935438,49.2,49.2,49.2,49.2
3958503,49.2,49.2,49.2,49.2
3959858,49.2,49.2,49.2,49.2
3960108,49.2,49.2,49.2,49.2
3960923,49.2,49.2,49.2,49.2
3963992,49.2,49.2,49.2,49.2
3972741,49.2,49.2,49.2,49.2
3976270,49.2,49.2,49.2,49.2
3979177,49.2,49.2,49.2,49.2
3991832,49.2,49.2,49.2,49.2
3993309,49.2,49.2,49.2,49.2
3993416,49.2,49.2,49.2,49.2
3993843,49.2,49.2,49.2,49.2
3994590,49.2,49.2,49.2,49.2
3994609,49.2,49.2,49.2,49.2
3994633,49.2,49.2,49.2,49.2
3994883,49.2,49.2,49.2,49.2
3996027,49.2,49.2,49.2,49.2
3996109,49.2,49.2,49.2,49.2
3998306,49.2,49.2,49.2,49.2
3999219,49.2,49.2,49.2,49.2
4002006,49.2,49.2,49.2,49.2
4002150,49.2,49.2,49.2,49.2
4002172,49.2,49.2,49.2,49.2
4003709,49.2,49.2,49.2,49.2
4011623,49.2,49.2,49.2,49.2
4017576,49.2,49.2,49.2,49.2
4022105,49.2,49.2,49.2,49.2
4022127,49.2,49.2,49.2,49.2
4022175,49.2,49.2,49.2,49.2
4022238,49.2,49.2,49.2,49.2
4038772,49.2,49.2,49.2,49.2
4040489,49.2,49.2,49.2,49.2
4041111,49.2,49.2,49.2,49.2
4053690,49.2,49.2,49.2,49.2
4065311,49.2,49.2,49.2,49.2
4072661,49.2,49.2,49.2,49.2
4072683,49.2,49.2,49.2,49.2
4072703,49.2,49.2,49.2,49.2
4072721,49.2,49.2,49.2,49.2
4081868,49.2,49.2,49.2,49.2
4088581,49.2,49.2,49.2,49.2
4098805,49.2,49.2,49.2,49.2
4098808,49.2,49.2,49.2,49.2
4098818,49.2,49.2,49.2,49.2
4098822,49.2,49.2,49.2,49.2
4098825,49.2,49.2,49.2,49.2
4099352,49.2,49.2,49.2,49.2
4099456,49.2,49.2,49.2,49.2
4099614,49.2,49.2,49.2,49.2
4099912,49.2,49.2,49.2,49.2
4100763,49.2,49.2,49.2,49.2
4100924,49.2,49.2,49.2,49.2
4117439,49.2,49.2,49.2,49.2
4117554,49.2,49.2,49.2,49.2
4118449,49.2,49.2,49.2,49.2
4126763,49.2,49.2,49.2,49.2
4127639,49.2,49.2,49.2,49.2
4135581,49.2,49.2,49.2,49.2
4137733,49.2,49.2,49.2,49.2
4162410,49.2,49.2,49.2,49.2
4175405,49.2,49.2,49.2,49.2
4207065,49.2,49.2,49.2,49.2
4207092,49.2,49.2,49.2,49.2
4211443,49.2,49.2,49.2,49.2
4222656,49.2,49.2,49.2,49.2
4225241,49.2,49.2,49.2,49.2
4225244,49.2,49.2,49.2,49.2
4225248,49.2,49.2,49.2,49.2
4225252,49.2,49.2,49.2,49.2
4225255,49.2,49.2,49.2,49.2
4225258,49.2,49.2,49.2,49.2
4232596,49.2,49.2,49.2,49.2
4238503,49.2,49.2,49.2,49.2
4238506,49.2,49.2,49.2,49.2
4238510,49.2,49.2,49.2,49.2
4238513,49.2,49.2,49.2,49.2
4238516,49.2,49.2,49.2,49.2
4238519,49.2,49.2,49.2,49.2
4238523,49.2,49.2,49.2,49.2
4238526,49.2,49.2,49.2,49.2
4238529,49.2,49.2,49.2,49.2
4238533,49.2,49.2,49.2,49.2
4238536,49.2,49.2,49.2,49.2
4238539,49.2,49.2,49.2,49.2
4238543,49.2,49.2,49.2,49.2
4238546,49.2,49.2,49.2,49.2
4238549,49.2,49.2,49.2,49.2
4238553,49.2,49.2,49.2,49.2
4238556,49.2,49.2,49.2,49.2
4238559,49.2,49.2,49.2,49.2
4238563,49.2,49.2,49.2,49.2
4238566,49.2,49.2,49.2,49.2
4238569,49.2,49.2,49.2,49.2
4238572,49.2,49.2,49.2,49.2
4238576,49.2,49.2,49.2,49.2
4238580,49.2,49.2,49.2,49.2
4238583,49.2,49.2,49.2,49.2
4238586,49.2,49.2,49.2,49.2
4238590,49.2,49.2,49.2,49.2
4241000,49.2,49.2,49.2,49.2
4242644,49.2,49.2,49.2,49.2
4243885,49.2,49.2,49.2,49.2
4245994,49.2,49.2,49.2,49.2
4246023,49.2,49.2,49.2,49.2
4248038,49.2,49.2,49.2,49.2
4251430,49.2,49.2,49.2,49.2
4251434,49.2,49.2,49.2,49.2
4253391,49.2,49.2,49.2,49.2
4257328,49.2,49.2,49.2,49.2
