job_id,model_name,duration,submit_time,num_gpu,,
0,b,20851471,0,1,,a
1,a,2337035,266564,1,,b
2,d,6619155,266566,1,,c
3,c,283640190,289185,1,,d
4,b,12267015,290070,1,,e
5,f,616413219,291876,1,,f
6,e,735215900,786808,4,,
7,c,23349695,1243820,1,,
8,a,24063917,1279491,1,,
9,f,58660185,1362192,1,,
10,d,846515712,1452854,2,,
11,e,48789993,1487280,4,,
12,d,337686832,1494845,4,,
13,e,51092453,1537172,2,,
14,b,738323272,1537243,4,,
15,c,87716702,1559948,1,,
16,b,63540043,1896806,1,,
17,a,55311644,2003517,1,,
18,f,1592046,2025050,1,,
19,f,97520495,2026073,1,,
20,c,126772861,2026383,1,,
21,b,14324958,2083781,1,,
22,a,9158609,2084777,1,,
23,c,225766185,2097261,1,,
24,e,2935599,2100304,1,,
25,a,24053628,2100307,1,,
26,a,90290365,2113144,1,,
27,c,30947134,2274866,1,,
28,b,66554558,2449488,1,,
29,d,43898982,2449642,1,,
30,a,3238759,2454620,1,,
31,e,144569977,2486553,1,,
32,d,2489323,2532635,4,,
33,a,55542144,2532663,4,,
34,f,866864591,2532908,1,,
35,a,350760341,2580746,1,,
36,b,157115098,2592271,1,,
37,a,35546585,2592337,1,,
38,a,8845740,2592367,1,,
39,f,34066477,2593223,1,,
40,e,207940934,2593602,1,,
41,b,1595683,2595254,1,,
42,f,47101362,2595255,1,,
43,f,559707889,2595591,1,,
44,f,804303821,2597361,1,,
45,e,39018929,2597371,1,,
46,e,689045246,2614324,1,,
47,f,14699880,2631213,1,,
48,e,113704439,2635455,1,,
49,d,9701440,2635460,1,,
50,c,511974172,2663373,1,,
51,e,366808851,2663374,1,,
52,f,231657976,2669417,1,,
53,c,2960191,2669418,1,,
54,c,24941724,2675408,1,,
55,f,1212966,2678400,2,,
56,c,23264406,2680341,1,,
57,a,756411,2717244,1,,
58,f,1722430,2740512,1,,
59,b,162504186,2770101,1,,
60,c,61262659,2777576,1,,
61,c,256828057,2877615,1,,
62,c,14201269,2890966,1,,
63,a,8991194,2948117,1,,
64,c,1523820,2949862,1,,
65,f,38227956,2950237,1,,
66,d,1799318,2950505,1,,
67,a,50949097,2964979,1,,
68,a,10130145,2987445,1,,
69,d,130289127,3000159,1,,
70,f,16842906,3000822,1,,
71,b,24015404,3009876,1,,
72,c,5740552,3031681,1,,
73,b,19925489,3033601,1,,
74,e,6142703,3046805,1,,
75,e,144321031,3046811,1,,
76,a,14246308,3086290,1,,
77,f,102601637,3086292,1,,
78,d,71028127,3106680,1,,
79,b,21276037,3110214,2,,
80,e,310738356,3129585,1,,
81,b,470937339,3129645,1,,
82,f,94404880,3129852,1,,
83,e,52621431,3147031,1,,
84,a,141823156,3148287,1,,
85,c,13373082,3148396,1,,
86,c,937782,3175183,1,,
87,d,47258441,3197839,2,,
88,c,281284023,3210601,1,,
89,f,19584888,3210667,1,,
90,d,227417078,3257189,1,,
91,c,19023661,3267762,1,,
92,d,5055027,3284451,1,,
93,d,55085201,3348382,1,,
94,e,102720220,3360689,1,,
95,f,68245545,3360721,1,,
96,b,6721372,3366387,1,,
97,d,14967382,3367379,2,,
98,d,25521013,3367585,1,,
99,c,82041974,3376792,1,,
100,b,9159471,3383194,1,,
101,d,10709053,3389517,1,,
102,e,22818842,3416286,1,,
103,d,139962127,3473876,2,,
104,d,10657175,3502061,1,,
105,d,10650047,3509351,1,,
106,c,9435787,3509374,1,,
107,f,1099280,3509664,1,,
108,c,255090,3510315,1,,
109,a,3803420,3510998,1,,
110,d,84997,3525795,1,,
111,a,86816,3538206,4,,
112,a,515407,3538257,4,,
113,c,30125232,3539024,4,,
114,c,4038664,3539025,4,,
115,f,757753,3551250,1,,
116,f,2489792,3551333,1,,
117,c,804,3551397,1,,
118,a,245195,3552772,1,,
119,f,219205,3554308,1,,
120,d,433526,3555137,1,,
121,c,3933612,3556468,1,,
122,c,14658,3561873,1,,
123,c,927297,3564060,1,,
124,c,608,3564757,1,,
125,f,8056,3564766,1,,
126,e,696,3564927,1,,
127,a,1149894,3565275,1,,
128,d,82763,3565644,1,,
129,f,563406,3566016,1,,
130,f,37828,3566453,1,,
131,c,41619,3566765,1,,
132,d,12103,3567039,1,,
133,e,597,3567044,1,,
134,f,344216784,3567705,1,,
135,b,8191889,3568044,1,,
136,e,344160338,3568314,1,,
137,a,7998041,3568406,1,,
138,d,17014238,3568584,1,,
139,c,1557250,3569055,1,,
140,d,2302879,3569099,1,,
141,f,5226,3570115,1,,
142,b,1912,3571105,1,,
143,a,71396,3571167,1,,
144,a,42050306,3572850,1,,
145,b,1209932,3572960,1,,
146,e,28618,3573828,1,,
147,e,5363879,3574004,1,,
148,e,86894,3574099,1,,
149,b,2806327,3574639,1,,
150,c,108158,3574847,1,,
151,e,750,3574908,1,,
152,d,376366,3575019,1,,
153,c,20039,3575206,1,,
154,b,12421,3575265,1,,
155,e,1034815,3575294,1,,
156,c,9055,3575453,1,,
157,d,3574,3576571,1,,
158,b,37768,3577076,1,,
159,a,755,3577410,1,,
160,b,6827,3577412,1,,
161,c,11960,3577496,1,,
162,b,6590,3578012,1,,
163,a,21023,3578169,1,,
164,f,15007,3578752,1,,
165,b,2695,3578780,1,,
166,a,101932,3578792,1,,
167,e,128579847,3579062,1,,
168,a,72705,3583573,1,,
169,a,52541,3584166,1,,
170,d,31535,3586063,1,,
171,f,527089,3587805,1,,
172,b,6282639,3591558,1,,
173,c,3978620,3598054,1,,
174,b,40514,3605302,1,,
175,e,181141,3607083,1,,
176,b,60411,3607097,1,,
177,c,822,3607156,1,,
178,d,74841,3607159,1,,
179,c,1119942,3612318,1,,
180,d,387831,3612767,2,,
181,c,1118320,3615055,1,,
182,c,2225474,3621198,4,,
183,b,26818432,3622101,4,,
184,e,156141,3623909,2,,
185,c,74446,3623941,2,,
186,d,11351,3626966,2,,
187,b,76079183,3629169,2,,
188,e,14850290,3630214,4,,
189,a,46517912,3630251,4,,
190,e,4772405,3630424,2,,
191,b,78684797,3633062,2,,
192,f,15969284,3637262,4,,
193,f,15323561,3637273,4,,
194,a,27573,3637534,1,,
195,b,923,3640288,1,,
196,e,47672,3640478,1,,
197,f,262048,3640564,1,,
198,b,15892,3642439,1,,
199,b,108204,3643016,1,,
200,b,10102,3643855,1,,
201,c,80414,3646276,1,,
202,c,729,3647004,1,,
203,a,112651,3647016,1,,
204,a,177471,3647020,1,,
205,e,2330,3647031,1,,
206,d,60147,3647031,1,,
207,d,45158,3647066,1,,
208,c,3847,3647078,1,,
209,b,80561,3647099,1,,
210,f,9228,3647103,1,,
211,a,80903,3647105,1,,
212,b,494,3647110,1,,
213,d,16750,3647112,1,,
214,d,12763,3647127,1,,
215,a,2526,3647178,1,,
216,c,25679,3647178,1,,
217,e,81467,3647188,1,,
218,a,186655,3647189,1,,
219,c,11682,3647197,1,,
220,e,95154,3647201,1,,
221,a,65767,3647202,1,,
222,c,42341,3647208,1,,
223,e,771,3647208,1,,
224,d,8472,3647219,1,,
225,f,13015,3647227,1,,
226,a,3529,3647254,1,,
227,f,12830,3647259,1,,
228,f,837,3647261,1,,
229,d,200714,3647266,1,,
230,c,86067,3647274,1,,
231,f,23038,3647281,1,,
232,f,719,3647282,1,,
233,a,587,3647290,1,,
234,e,12390,3647291,1,,
235,e,913,3647299,1,,
236,c,80414,3647300,1,,
237,d,5926,3647300,1,,
238,f,612,3647307,1,,
239,a,25158,3647308,1,,
240,e,106678,3647317,1,,
241,a,15968,3647317,1,,
242,b,173036,3647319,1,,
243,c,3645,3647320,1,,
244,a,39101,3647325,1,,
245,e,55889,3647332,1,,
246,b,13230,3647338,1,,
247,f,578,3647341,1,,
248,e,20936,3647344,1,,
249,f,97342,3647345,1,,
250,d,221103,3647346,1,,
251,b,2927,3647436,1,,
